idx,db_id,question,gold_sql,hardness,din_sql_pred,din_sql_correct,dail_sql_pred,dail_sql_correct
0,concert_singer,How many singers do we have?,SELECT count(*) FROM singer,easy,SELECT COUNT(*) FROM singer,True,SELECT COUNT(*) FROM singer,True
1,concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,easy,SELECT COUNT(*) FROM singer,True,SELECT count(*) FROM singer,True
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",medium,"SELECT Name, Country, Age FROM singer ORDER BY Age DESC",True,"SELECT Name, Country, Age FROM singer ORDER BY Age DESC",True
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",medium,"SELECT Name, Country, Age FROM singer ORDER BY Age DESC",True,"SELECT Name, Country, Age FROM singer ORDER BY Age DESC",True
4,concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",easy,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'",True,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'",True
5,concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",easy,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'French'",False,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'French'",False
6,concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",medium,SELECT min(Age) FROM singer,False,"SELECT Song_Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer)",True
7,concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",medium,SELECT MIN(Age) FROM singer,False,"SELECT Song_Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer)",True
8,concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,easy,SELECT DISTINCT Country FROM singer WHERE Age > 20,True,SELECT DISTINCT Country FROM singer WHERE Age > 20,True
9,concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,easy,SELECT DISTINCT Country FROM singer WHERE Age > 20,True,SELECT DISTINCT Country FROM singer WHERE Age > 20,True
10,concert_singer,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country",medium,"SELECT Country, COUNT(*) FROM singer GROUP BY Country",True,"SELECT Country, COUNT(*) AS number_of_singers FROM singer GROUP BY Country",True
11,concert_singer,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country",medium,"SELECT Country, COUNT(*) FROM singer GROUP BY Country",True,"SELECT Country, COUNT(*) FROM singer GROUP BY Country",True
12,concert_singer,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),hard,"SELECT avg(Age) FROM singer` So, the answer to the question ""List all song names by singers above the average age."" is: **Intermediate_representation:** select singer.Song_Name from singer where singer.Age > avg(singer.Age) **SQL:** SELECT Song_Name FROM singer WHERE Age > (SELECT avg(Age) FROM singer)",False,SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer) ORDER BY Song_Name,True
13,concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),hard,SELECT Song_Name FROM singer WHERE Age > (SELECT avg(Age) FROM singer),True,SELECT DISTINCT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer),True
14,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",easy,"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",True,"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",True
15,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",easy,"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",True,"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",True
16,concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium",easy,"SELECT MAX(Capacity), AVG(Average) FROM stadium",False,"SELECT MAX(Capacity), AVG(Capacity) FROM stadium",False
17,concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium",easy,"SELECT AVG(Capacity), MAX(Capacity) FROM stadium",True,"SELECT AVG(Capacity) AS average_capacity, MAX(Capacity) AS maximum_capacity FROM stadium",True
18,concert_singer,What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",medium,"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",True,"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",True
19,concert_singer,What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",medium,"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",True,"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",True
20,concert_singer,How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,easy,SELECT COUNT(*) FROM concert WHERE Year = 2014 OR Year = 2015,True,"SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015')",True
21,concert_singer,How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,easy,SELECT COUNT(*) FROM concert WHERE Year = 2014 OR Year = 2015,True,SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015',True
22,concert_singer,Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",hard,"select stadium.Name, count(concert.*) from stadium left join concert on stadium.Stadium_ID = concert.Stadium_ID group by stadium.Stadium_ID **SQL:** SELECT T2.Name, COUNT(T1.concert_ID) FROM concert AS T1 RIGHT JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T2.Stadium_ID",False,"SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium s LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name",False
23,concert_singer,"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",hard,"select stadium.Stadium_ID, count(concert.*) from stadium left join concert on stadium.Stadium_ID = concert.Stadium_ID group by stadium.Stadium_ID **SQL:** SELECT T1.Stadium_ID, COUNT(T2.concert_ID) FROM stadium AS T1 LEFT JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Stadium_ID",False,"SELECT s.Stadium_ID, s.Name, COUNT(c.concert_ID) AS concert_count FROM stadium s LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name",False
24,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",extra,"SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year >= 2014 GROUP BY T1.Stadium_ID, T1.Name, T1.Capacity HAVING COUNT(*) = ( SELECT MAX(concert_count) FROM ( SELECT COUNT(*) AS concert_count FROM concert WHERE Year >= 2014 GROUP BY Stadium_ID ) AS counts )",True,"SELECT s.Name, s.Capacity FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.Year >= '2014' GROUP BY s.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1",True
